Path,Type,Size
D:\MSP\PP\sem08\task04.py,File,1657
D:\MSP\PP\sem08\task05.py,File,736
D:\MSP\PP\sem08\task06.py,File,1129
D:\MSP\PP\sem08\task07.py,File,843
D:\MSP\PP\sem08\users.csv,File,54
D:\MSP\PP\sem08\users.json,File,130
D:\MSP\PP\sem08\users.pickle,File,79
D:\MSP\PP\sem09\guessing_game.json,File,717
D:\MSP\PP\sem09\mult_numbers.json,File,109
D:\MSP\PP\sem09\sum_numbers.json,File,1888
D:\MSP\PP\sem09\task01.py,File,1618
D:\MSP\PP\sem09\task02.py,File,1484
D:\MSP\PP\sem09\task03.py,File,1877
D:\MSP\PP\sem09\task04.py,File,679
D:\MSP\PP\sem09\task05.py,File,2475
D:\MSP\PP\sem09\task06.py,File,2265
